size,file,constructorCount,declarationCount,expressionCount,groupingOrIIFECount,arrowCount,totalCount
8,drift/src/h2oProxy/postPutObjectRequest.js,0,0,0,0,1,1
8,drift/src/h2oProxy/postScalaCodeRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/postScalaIntpRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/postShutdownRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/postUploadFileRequest.js,0,0,0,0,0,0
8,drift/src/h2oProxy/postUploadObjectRequest.js,0,0,0,0,1,1
8,drift/src/h2oProxy/requestDeleteFrame.js,0,0,0,0,0,0
8,drift/src/h2oProxy/requestExec.js,0,0,0,0,1,1
8,drift/src/h2oProxy/requestFileGlob.js,0,0,0,0,0,0
8,drift/src/h2oProxy/requestFlow.js,0,0,0,0,0,0
8,drift/src/h2oProxy/requestFrame.js,0,0,0,0,1,1
8,drift/src/h2oProxy/requestFrames.js,0,0,0,0,1,1
8,drift/src/h2oProxy/requestFrameSlice.js,0,0,0,0,1,1
8,drift/src/h2oProxy/requestFrameSummary.js,0,0,0,0,1,1
8,drift/src/h2oProxy/requestFrameSummaryWithoutData.js,0,0,0,0,1,1
8,drift/src/h2oProxy/requestHelpContent.js,0,0,0,0,0,0
8,drift/src/h2oProxy/requestHelpIndex.js,0,0,0,0,0,0
8,drift/src/h2oProxy/requestInspect.js,0,0,0,0,0,0
8,drift/src/h2oProxy/requestModelBuilders.js,0,0,0,0,3,3
8,drift/src/h2oProxy/requestPack.js,0,0,0,0,0,0
8,drift/src/h2oProxy/requestPacks.js,0,0,0,0,0,0
8,drift/src/h2oProxy/requestPojoPreview.js,0,0,0,0,0,0
8,drift/src/h2oProxy/requestSplitFrame.js,0,0,0,0,0,0
8,drift/src/h2oProxy/requestWithOpts.js,0,0,0,0,0,0
8,drift/src/h2oProxy/trackPath.js,0,0,0,0,0,0
8,drift/src/h2oProxy/unwrap.js,0,0,0,0,1,1
8,drift/src/h2oRDDsOutput.js,0,0,0,0,1,1
8,drift/src/h2oScalaCodeOutput.js,0,0,0,0,1,1
8,drift/src/h2oScalaIntpOutput.js,0,0,0,0,1,1
16,drift/src/h2oSplitFrameInput.js,0,0,0,0,18,18
8,drift/src/h2oSplitFrameOutput.js,0,0,0,0,5,5
8,drift/src/h2oStackTraceOutput.js,0,0,0,0,5,5
8,drift/src/h2oTimelineOutput.js,0,0,0,0,9,9
32,drift/src/help/help.js,0,0,0,0,27,27
8,drift/src/html/html.js,0,0,0,0,0,0
8,drift/src/index.js,0,0,0,0,0,0
8,drift/src/jobOutput/cancel.js,0,0,0,0,1,1
8,drift/src/jobOutput/canView.js,0,0,0,0,0,0
8,drift/src/jobOutput/getJobOutputStatusColor.js,0,0,0,0,0,0
8,drift/src/jobOutput/getJobProgressPercent.js,0,0,0,0,0,0
8,drift/src/jobOutput/h2oJobOutput.js,0,0,0,0,4,4
8,drift/src/jobOutput/initialize.js,0,0,0,0,0,0
8,drift/src/jobOutput/isJobRunning.js,0,0,0,0,0,0
8,drift/src/jobOutput/jobOutputStatusColors.js,0,0,0,0,0,0
8,drift/src/jobOutput/refresh.js,0,0,0,0,1,1
8,drift/src/jobOutput/updateJob.js,0,0,0,0,1,1
8,drift/src/jobOutput/view.js,0,0,0,0,0,0
24,drift/src/knockout/knockout.js,0,0,0,0,8,8
8,drift/src/localStorage/localStorage.js,0,0,0,0,7,7
8,drift/src/notebook/_initializeInterpreter.js,0,0,0,0,1,1
8,drift/src/notebook/checkConsistency.js,0,0,0,0,0,0
8,drift/src/notebook/cloneCell.js,0,0,0,0,0,0
8,drift/src/notebook/convertCellToCode.js,0,0,0,0,0,0
8,drift/src/notebook/convertCellToHeading.js,0,0,0,0,1,1
8,drift/src/notebook/convertCellToMarkdown.js,0,0,0,0,0,0
8,drift/src/notebook/convertCellToRaw.js,0,0,0,0,0,0
8,drift/src/notebook/convertCellToScala.js,0,0,0,0,0,0
8,drift/src/notebook/copyCell.js,0,0,0,0,0,0
8,drift/src/notebook/createCell.js,0,0,0,0,0,0
8,drift/src/notebook/cutCell.js,0,0,0,0,0,0
8,drift/src/notebook/deleteCell.js,0,0,0,0,0,0
8,drift/src/notebook/deserialize.js,0,0,0,0,1,1
8,drift/src/notebook/flowRenderers.js,0,0,0,0,0,0
72,drift/src/notebook/notebook.js,0,0,0,0,100,100
8,drift/src/notebook/removeCell.js,0,0,0,0,0,0
8,drift/src/notebook/selectCell.js,0,0,0,0,1,1
8,drift/src/notebook/serialize.js,0,0,0,0,1,1
8,drift/src/notebook/switchToCommandMode.js,0,0,0,0,0,0
8,drift/src/notebook/switchToEditMode.js,0,0,0,0,0,0
8,drift/src/objectBrowser/objectBrowser.js,0,0,0,0,8,8
8,drift/src/parseInput/_columnsAccessorFunction.js,0,0,0,0,0,0
8,drift/src/parseInput/createDelimiter.js,0,0,0,0,0,0
8,drift/src/parseInput/dataTypes.js,0,0,0,0,0,0
8,drift/src/parseInput/filterColumns.js,0,0,0,0,1,1
8,drift/src/parseInput/goToNextPage.js,0,0,0,0,0,0
8,drift/src/parseInput/goToPreviousPage.js,0,0,0,0,0,0
16,drift/src/parseInput/h2oSetupParseOutput.js,0,0,0,0,19,19
8,drift/src/parseInput/makePage.js,0,0,0,0,0,0
8,drift/src/parseInput/parseFiles.js,0,0,0,0,3,3
8,drift/src/parseInput/parseTypesArray.js,0,0,0,0,0,0
8,drift/src/parseInput/refreshPreview.js,0,0,0,0,2,2
8,drift/src/parseInput/whitespaceSeparators.js,0,0,0,0,0,0
8,drift/src/routines/_apply.js,0,0,0,0,0,0
8,drift/src/routines/_assistance.js,0,0,0,0,0,0
8,drift/src/routines/_call.js,0,0,0,0,0,0
8,drift/src/routines/_fork.js,0,0,0,0,0,0
8,drift/src/routines/_join.js,0,0,0,0,0,0
8,drift/src/routines/_plot.js,0,0,0,0,1,1
8,drift/src/routines/_schemaHacks.js,0,0,0,0,0,0
8,drift/src/routines/blacklistedAttributesBySchema.js,0,0,0,0,0,0
8,drift/src/routines/combineTables.js,0,0,0,0,0,0
8,drift/src/routines/computeFalsePositiveRate.js,0,0,0,0,0,0
8,drift/src/routines/computeSplits.js,0,0,0,0,0,0
8,drift/src/routines/computeTruePositiveRate.js,0,0,0,0,0,0
8,drift/src/routines/concatArrays.js,0,0,0,0,0,0
8,drift/src/routines/convertColumnToVector.js,0,0,0,0,0,0
